Student,FinalGrade1403,Transfer,ACT_Score,ACT_Math,HS_GPA,success
828,74,no,28,30,2.66,yes
829,95,no,30,36,2.86,yes
830,90,no,16,10,2.27,yes
831,78,no,23,25,2.41,yes
832,91,no,18,13,2.9,yes
833,91,no,23,31,2.78,yes
834,87,no,23,22,2.22,yes
835,88,no,31,36,3.53,yes
836,96,no,20,18,2.09,yes
837,67,no,28,23,3.06,yes
838,98,no,27,25,2.53,yes
839,62,no,26,33,3.59,yes
840,82,no,27,36,3.31,yes
841,75,no,17,16,2.47,no
842,84,no,22,17,2.95,yes
843,75,no,17,15,2.16,no
844,79,yes,14,17,2.89,yes
845,68,no,20,14,2.11,no
846,82,no,26,26,3.23,yes
847,87,no,23,17,3.39,yes
848,83,no,23,27,3.14,yes
849,82,no,26,35,2.65,yes
850,73,no,28,23,3.42,yes
851,88,no,29,24,2.5,yes
852,96,no,27,32,2.99,yes
853,85,no,14,7,2.67,no
854,68,no,25,25,2.45,yes
855,82,no,24,30,3.44,yes
856,55,no,29,35,2.92,yes
857,89,no,18,12,2.16,no
858,98,yes,31,23,3.77,yes
859,84,no,27,21,4,yes
860,90,no,23,17,2.43,yes
861,76,no,19,19,2.88,no
862,99,no,19,17,2.83,yes
863,89,no,24,22,3.73,yes
864,92,no,19,21,2.21,yes
865,95,no,29,23,2.68,yes
866,91,no,20,17,2.32,yes
867,78,no,21,19,2.68,no
868,74,no,19,12,2.17,no
869,96,no,19,10,2.09,yes
870,88,no,24,25,2.65,yes
871,96,yes,28,21,3.51,yes
872,98,no,25,21,4,yes
873,86,yes,20,21,3.38,yes
874,63,no,22,22,2.08,yes
875,86,no,21,23,2.86,yes
876,88,yes,26,23,2.02,yes
877,90,no,21,25,3.1,yes
878,92,yes,21,20,2.95,yes
879,49,no,25,28,2.79,yes
880,78,no,18,18,4,yes
881,90,no,31,27,3.62,yes
882,99,no,20,14,2.27,yes
883,92,no,22,23,2.8,yes
884,61,no,32,28,2,yes
885,53,no,22,21,3.59,no
886,66,no,23,26,3.28,yes
887,72,no,26,34,3.01,yes
888,73,no,16,11,2.06,yes
889,59,no,22,23,2.45,no
890,76,no,19,14,2.53,no
891,64,no,22,25,2.83,yes
892,48,no,21,25,3.07,no
893,90,no,35,36,2.05,yes
894,78,no,25,28,2.67,yes
895,59,no,30,36,3.87,yes
896,49,no,28,24,3.4,no
897,69,no,21,21,2.62,yes
898,82,no,19,12,3.42,no
899,88,no,30,27,3.39,yes
900,85,yes,10,10,2.75,no
901,94,no,22,21,2.4,yes
902,93,no,26,27,3.21,yes
903,98,no,20,22,2.23,yes
904,81,no,29,24,3.04,yes
905,59,no,22,15,3.25,yes
906,94,no,21,26,2.83,yes
907,73,yes,26,26,3.77,yes
908,93,no,24,16,3.41,yes
909,85,no,23,24,3.94,yes
910,82,no,20,22,2.26,yes
911,76,no,21,10,3.07,yes
912,91,no,11,17,2.28,yes
913,50,no,25,14,2.88,no
914,59,yes,20,14,2.24,no
915,87,no,24,20,4,yes
916,96,yes,18,12,2.27,no
917,74,no,14,13,3.64,no
918,79,no,16,8,2.09,no
919,72,no,24,18,2.29,no
920,80,no,16,13,2.52,yes
921,85,no,14,13,3.8,yes
922,65,no,21,22,2.61,yes
923,79,no,21,17,4,yes
924,97,no,25,29,2.97,yes
925,58,no,20,12,2.07,no
926,79,no,15,19,3.17,yes
927,76,no,19,8,3.01,no
928,76,yes,28,26,3.54,yes
929,80,no,21,18,2.95,yes
930,58,no,29,33,4,yes
931,89,no,29,26,2.45,yes
932,69,no,22,23,3.07,yes
933,89,no,22,29,3.47,yes
934,64,no,17,19,2.59,yes
935,59,no,31,23,3.06,yes
936,88,no,31,29,3.23,yes
937,56,no,22,20,2.66,yes
938,67,no,23,22,2.85,yes
939,75,no,15,18,2.69,yes
940,82,no,19,21,2.42,no
941,91,no,22,21,3.05,yes
942,86,no,20,19,2.54,yes
943,97,no,29,21,2.39,yes
944,92,no,27,31,3.66,yes
945,86,no,21,26,2.16,yes
946,97,no,17,25,3.24,yes
947,86,no,26,24,3.8,yes
948,85,no,24,14,2.05,yes
949,83,no,22,24,2.95,yes
950,79,no,23,21,2.2,yes
951,100,yes,18,16,2.07,yes
952,84,no,21,17,2.71,yes
953,92,no,27,25,3.33,yes
954,90,no,29,29,3.76,yes
955,59,no,23,23,3.13,yes
956,69,no,26,28,4,yes
957,75,no,25,32,4,yes
958,75,no,17,18,2.24,yes
959,79,no,20,19,2.28,no
960,94,no,24,25,2.17,yes
961,97,no,17,24,3.3,yes
962,48,no,26,31,3.08,yes
963,88,no,25,22,2.73,yes
964,81,no,18,21,2.8,yes
965,81,no,15,15,3.03,no
966,79,no,26,21,2.49,yes
967,94,no,18,10,2.74,yes
968,56,no,24,20,3.42,yes
969,91,yes,19,17,2.34,yes
970,39,no,20,21,4,no
971,87,no,24,22,3.89,yes
972,76,no,21,20,3.21,yes
973,66,no,25,25,3.61,yes
974,40,no,26,25,2.08,no
975,84,no,24,26,3.51,yes
976,92,no,25,31,2.9,yes
977,84,no,17,19,3.29,yes
978,87,yes,27,23,3.84,yes
979,76,no,25,20,2.2,yes
980,69,no,15,10,2.38,no
981,67,yes,10,3,3.69,no
982,94,no,18,14,2.79,no
983,85,no,20,14,2.96,yes
984,97,no,28,21,2.53,yes
985,62,no,23,32,3.13,yes
986,52,no,29,27,4,yes
987,60,no,14,12,2.52,no
988,84,no,20,15,2.21,yes
989,91,no,26,23,2.5,yes
990,92,no,22,23,3.03,yes
991,94,no,22,13,2.05,yes
992,66,no,30,28,2.41,yes
993,70,no,23,15,3.29,no
994,74,no,19,24,2.53,yes
995,95,no,27,26,4,yes
996,92,no,29,23,4,yes
997,93,no,17,22,2.29,yes
998,94,no,20,22,2.34,yes
999,82,no,16,21,2.11,no
1000,87,no,29,31,4,yes
1001,68,no,14,11,2.8,yes
1002,85,no,20,20,2.94,yes
1003,65,no,18,26,2.16,no
1004,84,no,19,17,2.6,yes
1005,72,yes,24,29,3.95,yes
1006,93,no,28,36,3.87,yes
1007,60,yes,22,23,2.86,no
1008,81,no,18,17,2.23,no
1009,89,no,20,11,2.25,no
1010,80,no,23,25,3.02,yes
1011,88,no,20,6,2.46,no
1012,88,no,18,23,2.95,yes
1013,80,no,19,28,2.37,yes
1014,97,no,19,23,2.38,yes
1015,88,no,19,25,3.35,yes
1016,51,no,36,36,2.52,yes
1017,97,no,23,15,3.3,yes
1018,72,no,14,16,2.5,yes
1019,60,no,13,5,3.62,no
1020,85,no,20,20,2.8,yes
1021,89,no,20,15,3.71,yes
1022,89,no,17,18,2.72,yes
1023,68,no,25,27,2.79,yes
1024,82,no,26,36,3.93,yes
1025,69,no,22,12,3.47,no
1026,71,no,24,25,2.78,yes
1027,69,no,26,32,2.32,yes
1028,82,no,20,19,2.78,yes
1029,69,no,16,12,2.88,no
1030,75,no,24,21,2.69,yes
1031,91,no,21,28,2.27,yes
1032,90,no,22,22,2.6,yes
1033,81,no,14,5,2.53,no
1034,77,yes,19,19,2.84,yes
1035,92,no,18,22,3.09,yes
1036,76,no,17,14,2.29,no
1037,89,no,15,13,2.87,yes
1038,77,no,23,18,2.34,yes
1039,66,no,14,14,3.12,no
1040,88,yes,24,21,3.67,yes
1041,87,no,21,19,2.37,yes
1042,74,no,20,21,3.24,no
1043,94,no,30,28,3.14,yes
1044,73,yes,14,11,2.57,no
1045,49,no,21,17,2.58,no
1046,75,no,26,19,2.38,yes
1047,71,no,23,28,2.68,yes
1048,99,no,25,30,3.12,yes
1049,100,no,27,24,2.7,yes
1050,90,no,19,21,3.46,yes
1051,60,no,24,20,3.23,yes
1052,94,no,28,31,3.06,yes
1053,70,no,23,26,2.24,yes
1054,82,yes,28,34,3.73,yes
1055,84,no,23,17,3.89,yes
1056,83,no,18,19,2.76,yes
1057,77,no,26,28,3.75,yes
1058,83,no,21,15,2.8,yes
1059,76,yes,24,22,2.11,yes
1060,90,no,25,16,2.33,yes
1061,73,no,22,23,3.27,yes
1062,77,no,24,23,3.45,yes
1063,83,no,27,19,3.2,yes
1064,80,no,24,14,2.95,yes
1065,95,no,23,23,3.2,yes
1066,70,no,25,18,2.94,no
1067,96,no,23,19,2.68,yes
1068,98,no,25,29,3.38,yes
1069,43,no,24,29,2.02,no
1070,49,no,18,20,3.87,yes
1071,60,no,13,13,3.81,no
1072,62,no,23,31,3.51,yes
1073,99,no,21,20,3.88,yes
1074,91,no,11,9,2.03,no
1075,71,no,21,24,2.07,yes
1076,58,no,24,25,2.79,yes
1077,83,no,27,30,3.44,yes
1078,73,no,25,28,2.45,yes
1079,88,no,14,12,2.82,no
1080,48,no,20,24,2.8,no
1081,58,no,26,24,3.08,yes
1082,73,no,19,6,2.89,no
1083,83,no,13,12,2.95,no
1084,87,no,25,17,2.03,yes
1085,93,no,27,27,3.17,yes
1086,65,no,14,6,2.16,no
1087,76,no,19,25,2.19,yes
1088,74,no,18,16,2.31,yes
1089,89,no,21,26,4,yes
1090,89,no,23,19,2.37,yes
1091,70,no,18,18,2.28,yes
1092,75,no,23,26,3.14,yes
1093,90,no,26,16,2.05,yes
1094,68,no,25,22,2.63,no
1095,70,no,23,25,2.16,yes
1096,96,no,25,15,3,yes
1097,79,no,22,25,2.41,yes
1098,80,no,17,8,2.6,yes
1099,86,no,26,26,3.03,yes
1100,84,no,23,22,3.78,yes
1101,83,no,22,13,2.99,no
1102,80,no,25,26,3.82,yes
1103,84,no,22,28,2.08,yes
1104,90,no,18,15,3.33,yes
1105,89,no,23,25,3.04,yes
1106,87,no,23,21,3.27,yes
1107,70,no,32,31,4,yes
1108,95,no,19,17,3.54,yes
1109,90,no,28,36,2.67,yes
1110,57,no,22,18,2.96,no
1111,83,no,23,20,3.14,yes
1112,78,no,18,20,2.36,yes
1113,71,no,22,29,3.69,yes
1114,56,no,20,23,3.15,yes
1115,85,no,24,9,2.49,yes
1116,78,yes,16,12,3.15,yes
1117,100,no,16,11,2.42,yes
1118,72,no,16,8,2.87,no
1119,92,no,28,29,2.67,yes
1120,99,no,10,5,2.52,no
1121,77,no,23,24,2.88,yes
1122,68,no,19,30,3.74,yes
1123,92,no,26,26,2.21,yes
1124,91,no,19,19,3.04,yes
1125,55,no,20,19,4,no
1126,95,no,18,22,2.55,yes
1127,79,no,24,16,2.72,yes
1128,87,no,12,16,2.89,yes
1129,59,no,16,13,2.29,no
1130,87,no,27,30,3.78,yes
1131,51,no,13,7,2.65,no
1132,82,no,22,13,2.95,yes
1133,80,yes,22,27,3.22,yes
1134,43,no,20,20,2.95,no
1135,64,yes,23,16,2.8,no
1136,82,yes,23,19,2.35,yes
1137,79,no,24,35,2.49,yes
1138,51,no,27,29,2.53,yes
1139,90,no,20,17,2.43,yes
1140,90,no,23,27,3.69,yes
1141,76,no,17,13,2.66,no
1142,92,no,19,25,2.23,yes
1143,90,no,25,23,2.78,yes
1144,78,no,25,22,3.06,yes
1145,82,no,18,10,2.5,no
1146,84,no,9,15,2.35,no
1147,75,no,33,27,3.44,yes
1148,62,no,25,22,3.85,yes
1149,97,no,15,14,3.27,yes
1150,79,no,21,18,3.01,yes
1151,83,no,22,21,2.65,yes
1152,79,no,26,26,3.19,yes
1153,77,no,26,26,2.78,yes
1154,84,no,22,19,3.35,yes
1155,97,no,27,28,3.34,yes
1156,88,no,24,16,2.63,yes
1157,88,no,22,22,3.29,yes
1158,92,no,22,15,3.48,yes
1159,89,no,18,25,2.25,yes
1160,73,no,26,27,2.75,yes
1161,95,no,22,18,2.92,yes
1162,64,no,13,5,3.27,no
1163,64,no,22,32,3.71,yes
1164,94,no,15,14,2.23,yes
1165,82,no,22,24,3.81,yes
1166,93,yes,27,23,2.98,yes
1167,97,no,30,28,2.53,yes
1168,86,no,27,23,4,yes
1169,86,no,26,28,2.95,yes
1170,74,yes,16,20,3.13,no
1171,41,no,25,15,3.53,no
1172,60,no,27,28,2.66,yes
1173,90,no,26,26,3.12,yes
1174,83,no,24,29,3.14,yes
1175,86,no,11,10,2.08,no
1176,82,no,20,22,2.11,yes
1177,48,no,26,27,3.16,no
1178,81,no,21,14,2.9,no
1179,72,no,21,19,2.71,no
1180,96,yes,21,18,2.32,yes
1181,53,no,25,22,2.05,no
1182,69,no,33,33,3.41,yes
1183,99,no,29,28,3.86,yes
1184,78,no,25,15,3.02,yes
1185,95,no,20,12,2.22,yes
1186,93,no,21,23,3.06,yes
1187,85,no,26,27,2.65,yes
1188,60,no,17,20,3.07,yes
1189,92,no,15,14,2.66,yes
1190,80,no,24,20,2.55,yes
1191,86,no,21,22,2.79,yes
1192,75,no,14,13,2.18,yes
1193,76,no,18,18,2.69,yes
1194,79,yes,28,23,3.5,yes
1195,81,no,21,17,2.45,yes
1196,92,no,34,28,3.23,yes
1197,81,no,27,32,2.27,yes
1198,54,no,18,22,2.42,no
1199,70,yes,24,24,2.74,yes
1200,95,no,14,15,2.27,yes
1201,97,no,27,21,3.35,yes
1202,82,no,18,20,2.99,yes
1203,67,no,22,23,2.99,yes
1204,94,no,23,30,2.93,yes
1205,87,no,21,19,2.83,yes
1206,96,no,21,21,2.5,yes
1207,85,no,29,28,2.36,yes
1208,51,no,19,27,2.79,no
1209,75,no,18,18,2.53,yes
1210,83,no,31,32,2.9,yes
1211,94,no,20,16,2.31,yes
1212,87,no,17,11,2.15,no
1213,71,no,30,24,3.16,yes
1214,94,no,14,20,2.38,no
1215,59,no,26,22,3.31,yes
1216,77,no,24,14,2.84,yes
1217,63,no,25,24,3.75,yes
1218,62,no,17,17,2.36,no
1219,73,no,17,28,2.31,yes
1220,97,no,20,29,2.05,yes
1221,46,no,20,17,2.64,no
1222,70,no,24,24,3.01,yes
1223,63,no,19,18,2.47,no
1224,46,no,18,20,2.81,no
1225,82,no,21,23,4,yes
1226,74,no,18,14,3.06,yes
1227,79,no,27,26,2.63,yes
1228,65,yes,12,9,3.35,no
1229,87,no,25,16,3.08,yes
1230,94,no,22,21,2.61,yes
1231,99,no,19,18,2.76,yes
1232,86,no,22,16,3.42,yes
1233,86,no,14,16,2.85,yes
1234,89,no,16,16,3.84,yes
1235,64,no,20,18,2.56,no
1236,89,no,23,15,3.07,yes
1237,91,yes,25,36,2.18,yes
1238,95,no,24,18,2.22,yes
1239,89,yes,23,26,3.61,yes
1240,86,no,20,17,2.29,yes
1241,89,yes,12,16,2.1,no
1242,79,no,16,22,2.78,no
1243,95,no,26,21,3.57,yes
1244,87,no,20,13,3.26,yes
1245,58,yes,15,12,2.8,no
1246,87,no,21,15,2.94,yes
1247,86,no,21,26,2.72,yes
1248,95,no,25,21,2.92,yes
1249,95,yes,25,30,3.46,yes
1250,91,no,14,15,2.48,yes
1251,75,no,22,14,2.91,no
1252,77,no,24,19,3.44,yes
1253,80,no,27,34,2.66,yes
1254,64,no,18,14,2.76,no
1255,59,no,23,19,2.11,no
1256,72,no,16,11,2.99,no
1257,79,no,23,26,2.9,yes
1258,88,no,22,26,3.02,yes
1259,81,no,20,23,3.03,yes
1260,89,no,25,20,2.31,yes
1261,96,no,27,23,2.12,yes
1262,94,no,25,25,3.11,yes
1263,51,no,18,11,2.6,no
1264,78,no,20,18,3.1,no
1265,59,no,22,22,2.47,no
1266,96,no,19,14,2.17,yes
1267,78,no,20,22,2.81,yes
1268,83,no,20,20,3.01,yes
1269,76,no,14,22,2.62,yes
1270,72,no,29,26,3.45,yes
1271,92,no,18,19,3,yes
1272,59,no,22,26,2.24,yes
1273,82,yes,22,29,2.71,yes
1274,79,no,19,25,2.47,yes
1275,75,no,12,8,2.15,no
1276,95,no,21,28,2.29,yes
1277,79,no,20,11,3.46,yes
1278,91,no,23,16,3.95,yes
1279,89,no,23,19,4,yes
1280,81,no,10,0,2.21,no
1281,93,no,19,13,3.72,yes
1282,76,no,31,23,2.31,yes
1283,91,no,27,25,3.8,yes
1284,86,no,27,27,3.63,yes
1285,69,yes,19,17,2.33,yes
1286,91,no,26,26,2.67,yes
1287,92,no,22,34,3.95,yes
1288,63,no,17,21,2.93,no
1289,93,no,19,13,2.4,yes
1290,92,no,33,34,2.59,yes
1291,99,no,16,14,2.89,yes
1292,90,no,21,18,2.62,yes
1293,95,no,19,16,2.03,yes
1294,78,no,24,25,3.39,yes
1295,83,no,19,21,2.56,no
1296,89,no,23,27,3.25,yes
1297,48,no,21,30,3.1,yes
1298,64,no,21,18,2.14,no
1299,96,no,24,24,2.68,yes
1300,84,no,20,9,2.71,no
1301,68,no,14,22,2.78,no
1302,79,no,28,34,2.78,yes
1303,84,no,29,29,2.93,yes
1304,90,no,28,24,3.01,yes
1305,67,no,26,13,2.46,yes
1306,65,yes,20,19,2.2,yes
1307,83,no,26,35,2.18,yes
1308,65,no,17,6,2.13,no
1309,82,no,19,7,3.7,yes
1310,62,no,25,19,2.88,yes
1311,70,no,19,15,2.42,yes
1312,76,no,25,21,2.37,yes
1313,96,no,21,19,2.8,yes
1314,95,no,26,29,3.49,yes
1315,88,no,20,19,2.74,yes
1316,56,no,29,28,2.74,yes
1317,79,no,25,22,3.36,yes
1318,77,no,25,31,2.09,yes
1319,76,no,19,19,2.56,yes
1320,59,no,24,21,4,no
1321,83,yes,22,14,2.75,yes
1322,92,no,24,10,3.31,yes
1323,90,no,17,19,2.14,yes
1324,95,no,25,19,3.62,yes
1325,78,yes,20,15,4,yes
1326,93,no,24,24,2.33,yes
1327,81,no,21,25,2.84,yes
1328,97,no,20,13,2.66,yes
1329,81,no,19,16,2.18,no
1330,100,no,20,24,2.09,yes
1331,59,no,21,31,3.33,yes
1332,88,yes,22,20,3.81,yes
1333,95,no,21,23,2.72,yes
1334,95,no,27,23,2.75,yes
1335,92,no,20,20,3.06,yes
1336,90,no,18,18,2.26,yes
1337,67,no,20,15,4,no
1338,96,no,28,29,2.62,yes
1339,62,no,27,25,3.55,yes
1340,93,no,21,34,2.12,yes
1341,82,no,19,27,2.37,yes
1342,88,no,24,17,2.17,no
1343,65,yes,24,19,2.63,no
1344,79,no,21,25,2.6,yes
1345,86,no,20,11,2.62,yes
1346,63,no,23,24,3.29,no
1347,87,no,27,16,2,yes
1348,92,no,27,29,3.27,yes
1349,56,no,28,25,4,yes
1350,81,no,21,26,3.25,yes
1351,70,no,23,19,2.73,yes
1352,96,no,22,20,2.45,yes
1353,96,yes,21,16,2.58,yes
1354,82,no,17,14,2.19,yes
1355,53,no,17,21,3.66,no
1356,79,no,26,29,2.93,yes
1357,52,no,19,22,2.15,no
1358,85,no,14,15,2.99,yes
1359,65,no,20,22,2.17,no
1360,96,no,19,22,2.16,yes
1361,88,no,36,36,3.08,yes
1362,62,no,19,24,2.45,yes
1363,85,no,20,11,2.94,yes
1364,85,no,19,17,2.33,yes
1365,68,no,21,24,2.38,no
1366,86,no,28,27,3.35,yes
1367,87,no,28,28,2.9,yes
1368,84,no,25,20,3.13,yes
1369,88,no,24,31,2.86,yes
1370,90,yes,20,27,2.77,yes
1371,79,no,23,30,3.45,yes
1372,97,no,30,25,2.98,yes
1373,62,yes,22,26,2.68,no
1374,80,no,24,21,4,yes
1375,81,no,29,24,3.02,yes
1376,83,no,19,4,2.97,no
1377,79,no,31,33,3.97,yes
1378,66,no,13,8,3.76,no
1379,55,no,29,24,3.04,yes
1380,72,no,21,13,3.29,no
1381,85,no,22,15,3.64,yes
1382,77,no,24,20,2.78,yes
1383,84,no,22,20,2.63,yes
1384,100,no,19,27,2.71,yes
1385,48,no,22,14,2.16,no
1386,59,no,29,36,3.02,yes
1387,86,no,25,23,2.39,yes
1388,59,no,16,8,3.08,no
1389,60,no,19,27,2.35,yes
1390,99,no,26,30,3.93,yes
1391,85,no,21,33,2.31,yes
1392,93,yes,24,14,2.9,yes
1393,75,no,13,10,2.8,no
1394,83,no,16,22,2.15,yes
1395,75,no,17,18,2.38,no
1396,75,no,31,32,3.39,yes
1397,80,no,23,28,2.78,yes
1398,62,no,18,18,3.32,no
1399,50,no,25,28,2.61,yes
1400,65,no,24,29,2.56,yes
1401,52,no,23,10,3.16,no
1402,97,no,21,21,2.75,yes
1403,81,yes,31,34,2.89,yes
1404,82,no,24,27,3.72,yes
1405,60,no,28,25,3.31,yes
1406,80,no,25,19,2.92,yes
1407,84,no,14,13,2.7,yes
1408,83,no,29,19,2.49,yes
1409,94,no,23,19,2.92,yes
1410,71,no,28,25,3.48,yes
1411,97,no,16,13,3.24,yes
1412,94,no,24,25,2.06,yes
1413,87,no,14,8,2.81,no
1414,60,no,15,27,2.77,yes
1415,80,no,22,15,2.31,yes
1416,49,yes,24,26,2.82,yes
1417,82,yes,18,10,2.87,no
1418,76,no,25,25,2.95,yes
1419,85,no,20,18,2.84,yes
1420,81,no,26,20,3.11,yes
1421,92,no,25,22,2.71,yes
1422,98,no,9,8,3.63,yes
1423,83,no,21,20,3.32,yes
1424,86,no,20,20,2.51,yes
1425,77,no,17,14,2.47,no
1426,79,no,23,22,3.29,yes
1427,87,no,17,21,2.27,yes
1428,75,no,15,18,2.25,no
1429,45,no,29,24,3.58,yes
1430,72,yes,22,30,2.48,yes
1431,91,no,21,15,2.76,yes
1432,48,no,29,29,3.06,yes
1433,54,no,21,22,2.51,no
1434,73,no,22,22,2.07,yes
1435,79,no,31,24,2.52,yes
1436,52,no,19,23,2.75,no
1437,100,yes,29,34,4,yes
1438,94,no,26,25,3.51,yes
1439,97,no,26,28,2.75,yes
1440,99,no,22,19,2.8,yes
1441,72,no,22,16,3.92,yes
1442,79,no,15,18,2.95,yes
1443,81,no,28,21,3.45,yes
1444,89,yes,31,34,3.33,yes
1445,95,no,22,29,2.54,yes
1446,83,yes,28,25,2.56,yes
1447,78,no,23,20,2.77,yes
1448,86,no,21,12,2.33,no
1449,84,yes,21,19,3.03,yes
1450,77,no,25,30,3.93,yes
1451,98,no,29,36,3.78,yes
1452,100,no,24,28,2.56,yes
1453,46,no,17,17,3.02,no
1454,81,no,22,22,2.29,yes
1455,62,no,24,19,2.55,yes
1456,64,no,20,22,2.11,no
1457,95,no,21,15,2.71,yes
1458,83,no,24,21,2.44,yes
1459,91,no,32,23,3.34,yes
1460,62,yes,19,12,2.65,no
1461,92,no,21,16,2.03,no
1462,86,no,22,26,3.5,yes
1463,66,no,19,17,2.24,yes
1464,75,no,25,24,2.82,yes
1465,86,no,22,18,3.52,yes
1466,82,no,18,7,2.48,yes
1467,83,yes,20,25,2.14,yes
1468,97,no,22,17,2.27,yes
1469,56,yes,30,28,3.9,yes
1470,78,no,26,19,3.03,yes
1471,90,no,21,21,3.04,yes
1472,83,no,19,12,3.38,no
1473,47,no,24,25,2.96,no
1474,78,yes,17,23,3.14,yes
1475,66,no,17,20,2.92,yes
1476,80,yes,17,16,2.29,yes
1477,82,no,25,31,3.87,yes
1478,93,no,17,12,2.98,yes
1479,79,no,16,16,2.39,yes
1480,93,no,25,20,2.99,yes
1481,73,no,18,24,2.67,yes
1482,50,no,25,25,2.23,yes
1483,68,yes,18,15,3.38,no
1484,87,no,27,28,2.75,yes
1485,78,no,22,22,3.09,yes
1486,80,no,18,22,2.91,no
1487,69,no,27,18,3.27,yes
1488,90,no,21,20,4,yes
1489,85,no,20,23,2.49,yes
1490,98,no,21,25,3.08,yes
1491,85,no,27,19,2.61,yes
1492,96,no,20,12,2.42,yes
1493,88,no,30,22,3.53,yes
1494,75,no,20,23,3.19,yes
1495,50,no,22,21,3.33,no
1496,69,no,24,18,3.11,yes
1497,45,no,21,21,2.29,no
1498,71,no,29,22,2.54,yes
1499,72,no,13,6,2.46,no
1500,64,no,30,22,2.79,yes
1501,72,no,20,16,3.49,yes
1502,84,no,28,24,2.38,yes
1503,55,no,21,18,2.56,no
1504,92,yes,22,33,3.4,yes
1505,78,no,24,17,3.81,yes
1506,92,no,26,32,3.3,yes
1507,83,yes,20,14,2.87,yes
1508,87,no,22,19,3.29,yes
1509,92,no,24,18,3.46,yes
1510,87,no,25,22,3.53,yes
1511,96,no,29,32,3.93,yes
1512,85,no,31,27,4,yes
1513,83,no,22,12,2.22,yes
1514,68,no,23,17,2.74,no
1515,90,no,14,18,2.4,yes
1516,70,yes,28,24,3.22,yes
1517,99,no,24,25,3.43,yes
1518,48,no,18,27,2.2,no
1519,80,no,25,25,2.04,yes
1520,68,no,16,13,2.08,no
1521,99,no,27,22,3.86,yes
1522,69,no,16,17,2.33,no
1523,37,no,24,21,2.8,no
1524,90,no,24,25,3.99,yes
1525,99,no,18,13,3.53,yes
1526,57,no,31,29,3.15,yes
1527,70,no,24,28,3.76,yes
1528,61,no,17,24,2.92,no
1529,83,no,22,23,3.11,yes
1530,92,no,20,7,2.59,yes
1531,66,no,10,5,2.06,no
1532,89,no,15,9,2.87,no
1533,94,no,22,29,3.3,yes
1534,75,no,20,17,3.02,no
1535,62,no,28,22,3.94,yes
1536,45,yes,20,12,2.91,no
1537,92,no,21,22,3.28,yes
1538,72,no,21,21,2.7,yes
1539,84,no,24,23,2.93,yes
1540,64,no,13,14,2.6,no
1541,65,no,25,27,3.22,yes
1542,84,no,24,22,3.24,yes
1543,96,no,22,16,2.13,yes
1544,91,no,22,20,3.67,yes
1545,82,no,18,24,2.45,no
1546,89,no,27,22,3.17,yes
1547,100,no,18,19,3,yes
1548,73,no,21,28,2,yes
1549,92,no,23,16,2.46,yes
1550,85,no,24,13,3.13,yes
1551,92,no,27,15,3.03,yes
1552,83,no,18,19,2.48,yes
1553,68,no,28,31,3.78,yes
1554,100,no,21,16,3.1,yes
1555,83,no,22,24,2.57,yes
1556,96,no,25,17,2.04,yes
1557,95,no,25,21,2.76,yes
1558,97,no,19,18,2.31,yes
1559,99,no,32,36,4,yes
1560,74,no,16,8,3.1,no
1561,91,no,22,20,2.51,yes
1562,76,no,28,22,2.84,yes
1563,90,yes,28,25,2.77,yes
1564,80,no,21,17,3.62,yes
1565,60,no,24,27,3.33,yes
1566,67,no,21,29,3.48,yes
1567,75,yes,16,9,2.63,no
1568,82,no,22,19,2.67,yes
1569,65,no,22,20,2.4,no
1570,71,no,21,18,2.81,no
1571,43,no,18,10,3.81,no
1572,82,no,21,20,2.11,yes
1573,62,no,23,23,2.52,yes
1574,80,no,24,24,3.3,yes
1575,88,no,23,13,3.71,yes
1576,66,yes,18,7,2.89,no
1577,87,no,22,30,2.39,yes
1578,59,yes,14,9,2.06,no
1579,93,no,18,23,2.45,yes
1580,99,no,21,15,3.32,yes
1581,88,no,22,22,2.6,yes
1582,90,no,28,23,3.32,yes
1583,55,no,13,8,2.48,no
1584,97,no,27,22,3.42,yes
1585,62,no,32,27,3.27,yes
1586,90,no,24,18,3.09,yes
1587,78,no,29,25,4,yes
1588,78,no,23,30,3.48,yes
1589,84,no,32,35,4,yes
1590,80,no,24,25,2.45,yes
1591,64,no,30,30,2.85,yes
1592,83,no,13,16,2.73,no
1593,78,no,20,23,3.87,yes
1594,98,no,19,21,4,yes
1595,78,no,17,16,2.36,yes
1596,84,no,27,27,3.17,yes
1597,63,no,22,19,3.64,yes
1598,82,no,30,26,2.24,yes
1599,97,no,23,23,2.17,yes
1600,89,no,33,30,3,yes
1601,60,no,23,28,3.63,yes
1602,88,no,20,14,2.1,no
1603,92,no,20,20,2.29,yes
1604,91,no,23,26,2.25,yes
1605,76,no,25,20,3.46,yes
1606,77,yes,25,18,2.76,yes
1607,49,no,22,22,3.29,no
1608,79,yes,15,20,2.12,yes
1609,64,no,32,36,2.34,yes
1610,98,no,26,21,2.6,yes
1611,72,no,17,13,3.46,yes
1612,70,no,24,27,3.6,yes
1613,97,no,19,16,2.17,yes
1614,94,no,23,22,3.3,yes
1615,81,no,29,23,3.18,yes
1616,82,no,23,28,2.81,yes
1617,80,no,29,29,3.39,yes
1618,91,no,21,13,2.49,yes
1619,63,no,29,32,2.27,yes
1620,73,no,20,15,2.93,no
1621,87,no,18,16,2.83,yes
