id,W,X,Y,Z
2691,44.9,191.6,49.53,112.6
2692,2.8,143.6,44.28,104.2
2693,6.4,189.8,54.65,116.7
2694,12.9,202.1,49.05,134.2
2695,30.3,133.4,49.7,105.4
2696,10.9,173.7,54.09,129.5
2697,73.2,200.7,59.35,136.6
2698,4.8,177.6,56.55,128.1
2699,56.3,176,54.64,114.3
2700,17.1,172.1,37.87,92.2
2701,14.8,201,56.69,123
2702,10.5,185,45.57,100.7
2703,4.1,150.6,47.85,100.3
2704,38,171.3,46.49,124
2705,153.6,170.1,57.47,111.2
2706,74.6,192.5,55.67,135.3
2707,45.7,163.5,49.52,112.5
2708,26.6,185.1,42.74,99.3
2709,49.7,170.8,39.31,93.2
2710,21.2,196.6,53.07,104.2
2711,49.6,179.3,54.89,100.7
2712,6.1,174.3,53.16,120.8
2713,14.1,213.2,51.83,125.1
2714,19.2,179.7,36.43,91.4
2715,1.9,171.2,44.43,104.3
2716,44,171.4,50.14,121.8
2717,15.8,205.7,36.28,125.5
2718,28,183.4,55.94,110.3
2719,49.1,168.6,49.44,118
2720,110.2,185.4,54.23,124.5
2721,36.6,185,61.26,123.9
2722,2.2,194.1,58.54,128
2723,6.5,171.7,52.5,124.1
2724,2,171.4,48.3,110.8
2725,19.1,214.3,54.35,123.2
2726,15.4,187.5,57.44,118.2
2727,1.3,173.8,47.02,100.4
2728,2,196.4,60.45,146
2729,25.4,183.4,50.44,133.3
2730,8.6,185.1,58.46,136.2
2731,42.8,151.2,61.31,117.3
2732,25.7,177.5,49.91,114.5
2733,85.8,197.1,49.37,114.7
2734,0.2,170,46.05,113.2
2735,3.4,195.2,48.32,109.9
2736,11.3,176.2,42.28,105.7
2737,17.8,194,57.79,113.9
2738,3.6,115.9,36.88,84
2739,1.4,142,49.42,106.5
2740,4.6,192.7,42.58,112.4
2741,4.4,187.7,42.04,116
2742,52.2,172.5,52.73,120.3
2743,0.2,152.1,51.36,89.7
2744,14.7,149.7,49.18,96.2
2745,26.4,162.2,46.79,98.5
2746,0.3,151.7,43.97,99.9
2747,11.1,196.9,48.21,105.4
2748,22.6,173.4,51.46,118.1
2749,23.4,194.2,59.05,140.1
2750,57,169.3,54.01,112.2
2751,56.9,194.4,60.66,125.6
2752,13.2,134.3,48.18,100.7
2753,27.3,184.1,57.62,105.4
2754,1.3,198.2,53.08,124
2755,63.2,183.7,50.37,117.7
2756,14.7,165.9,46.52,102.7
2757,16.9,187.3,41.74,113
2758,18.5,147.9,42.7,94.4
2759,44.2,151.8,48.7,99.8
2760,2.9,185.2,52.35,116.7
2761,8.5,172,51.39,132.6
2762,8.8,154.1,48.07,97.2
2763,70.5,196.9,38.73,109.8
2764,13.9,192.6,52.7,132.2
2765,38.6,198.7,44.85,106.9
2766,67.2,158.3,63.42,123
2767,59.7,189.4,41.21,90.4
2768,8.8,182,43.13,116.8
2769,17.3,176.8,48.64,126.5
2770,62.5,192.5,50.71,122.8
2771,10.8,211.2,34.73,95.7
2772,25.1,203.1,56.29,113.5
2773,58.4,165.5,57.47,119.9
2774,10.3,219.4,60.08,131.4
2775,14.7,179.9,65.11,120.8
2776,36.5,174.6,47.3,103.7
2777,8,189.1,45.54,105.5
2778,12.5,184.9,58.24,118.9
2779,32.6,218.4,48.4,104.2
2780,28.1,180.2,38.92,87.6
2781,28.9,219.8,56.32,132.6
2782,2,194.5,38.46,118.7
2783,61.4,209.3,64.92,142.6
2784,28.8,166.5,51.93,107.6
2785,6.7,198.2,56.77,141.2
2786,8.3,169.2,56.24,102.7
2787,10,188.7,43.82,100.8
2788,7.4,189.6,55.59,118.3
2789,3.7,220,57.43,136
2790,35.8,188.8,58.39,111.1
2791,26.2,201.2,56.7,117.9
2792,47.2,177.7,46.84,109.5
2793,57.5,214.6,45.37,97.4
2794,18.7,189.5,54.39,139.4
2795,29.1,189.6,51.33,104.3
2796,33.8,175.3,56.75,117.8
2797,38.2,207.6,49.63,124.2
2798,8.4,173.1,51.76,130
2799,2.8,154.6,42.57,109.3
2800,12.4,208.5,41.08,120.3
2801,31.6,185.9,36.87,100.4
2802,0.3,183.6,42.67,106.3
2803,28.2,198.9,44.18,109.4
2804,5.8,208.1,45.46,124.8
2805,5,167.9,48.38,99.3
2806,5.3,197.5,46.93,125.4
2807,20.1,152.2,56.38,117.9
2808,35.1,154,38.68,89.3
2809,9.6,180.4,41.77,89.6
2810,8.9,202,48.99,125.8
2811,4.3,182.3,50.97,112.4
2812,6.5,187.7,44.66,117.1
2813,13.9,214.8,55.01,130.3
2814,6.4,178.3,35.86,75.8
2815,4.7,168.3,52.97,106
2816,8,183.4,45.73,109.4
2817,0.6,187.5,43.31,108.3
2818,12,187.3,57.89,125.3
2819,2.5,184.1,41.5,107.1
2820,9.2,159.6,43.6,89.1
2821,37.4,208.7,48.59,133.4
2822,13.7,178.7,60.29,127.7
2823,70,175.9,50.37,123.8
2824,25.2,184.7,44.24,98.3
2825,34.4,157.4,56.58,133.1
2826,0.1,180.5,43.62,105.9
2827,2.8,177,60.34,117.1
2828,111.3,191.8,39.77,116.4
2829,16.6,200.8,51.48,116.1
2830,41.5,216.3,45.82,116.7
2831,3.3,145.5,58.63,120.4
2832,1.7,167.6,65.58,145.9
2833,17.3,136.3,50.87,105.5
2834,35.5,171.5,57.17,113.9
2835,7.8,142.3,46.51,82.9
2836,4.4,197.1,45.8,117.9
2837,11.4,179.5,73.02,134.5
2838,43.9,221.4,43.06,112.6
2839,30.6,160.5,53.51,119.2
2840,1.5,155.2,40.74,103.8
2841,1.1,160,50.63,117.5
2842,45.4,193.8,49.38,110.7
2843,56.8,169.8,55.85,114.8
2844,45.3,182.3,70.17,155.1
2845,92.7,187,46.01,121.3
2846,2.1,164.1,56.64,119
2847,50.7,143.4,43.75,98.2
2848,9.2,178.2,44.9,146.9
2849,29.5,152.1,54.6,105.8
2850,3.7,187.5,46.15,111.1
2851,1,210.5,44.29,122.2
2852,13.7,172,49.77,112.1
2853,4.9,175.5,51.68,119
2854,25.1,167.4,54.54,122
2855,46,206.7,53.1,141.8
2856,2.7,175.7,45.63,107.4
2857,27.3,159.6,43.19,111.1
2858,20,164.4,38.85,87.8
2859,15,177.8,53.84,110
2860,41.6,149.2,52.89,112.6
2861,39.4,172.8,49.45,115.4
2862,10,201.5,49.45,136.7
2863,19.9,209.7,48.08,130.9
2864,23.9,139,39.35,98
2865,40.8,196.4,47.48,119.9
2866,164.7,185.1,50.27,97.8
2867,58.8,153.7,44.86,97
2868,26.7,162.2,51.85,95.8
2869,2.1,154.4,46.94,105.1
2870,7.6,182.5,40.14,110.7
2871,8.3,195.3,45.02,117.3
2872,1.8,173.3,45.69,105.3
2873,46.9,177.3,48.36,123.8
2874,12.6,181.4,66.37,149.5
2875,19,156.3,57.58,130.1
2876,52.7,235.7,52.23,150.3
2877,3.4,177.2,49.09,111.1
2878,7.6,151.6,58.96,106.4
2879,104.1,159.5,62.82,120
2880,0.2,193,39.95,77.9
2881,53.2,190.9,59.62,139.6
2882,31.9,212.1,35.52,91.9
2883,41.8,169.4,56.88,110.2
2884,11,175.5,41.96,101.6
2885,79.4,200.9,52.8,119
2886,35.3,182.5,37.99,104.2
2887,6.9,149.2,49.7,92.3
2888,56.6,175.4,37.83,87.8
2889,6,143.7,63.35,116.2
2890,6.4,181.2,55.84,106.8
2891,15.8,175.8,46.83,104.1
2892,38.5,186.4,40.44,108.3
2893,88.5,203.1,54.73,131.3
2894,7.6,165.8,46.38,121.9
2895,28.7,201.5,44.8,113.8
2896,3.5,185.1,49.01,115.9
2897,14.1,188.5,58.52,136.8
2898,5.3,170.4,52.44,121.2
2899,20.4,170.9,43.79,98.9
2900,27.5,189.4,48.9,86.5
2901,8.9,160.9,55.78,110.3
2902,29.9,179.5,28.17,96.6
2903,6.1,167.3,52.63,105.5
2904,36.5,175.3,45.23,106
2905,7.5,178.1,48.19,104.2
2906,15,184.7,55.35,123.2
2907,1.6,175,52.43,115.2
2908,11,194,51.92,127.8
2909,4.2,193.5,52.41,130.3
2910,11.3,144.8,44.79,99.4
2911,4,190.1,43.57,111.5
2912,19.1,195.2,55.43,126.9
2913,0.1,163.5,49.16,112.3
2914,14.7,211.3,60.24,136.4
2915,69.3,160.4,54.09,114.6
2916,5.1,161.5,52.79,110.4
2917,48,213.1,46.03,100.2
2918,20.2,183.8,42.85,103.1
2919,29.2,175.6,51.89,115.6
2920,62.7,182.7,44.95,110.2
2921,2.3,162.3,59.95,91
2922,53.3,173.9,62.06,133.2
2923,48.2,190.4,47.06,120.4
2924,11.8,185,66.16,124.2
2925,8.5,187,53.03,108.7
2926,7.3,154.3,48.21,117.8
2927,36.9,216,46.44,134.9
2928,8.2,166.1,51.96,103.7
2929,61.6,163,39.31,93
2930,13.4,173.4,53.25,127.4
2931,16.6,176.3,58.51,132.3
2932,48.2,164.1,31.29,89.3
2933,12.7,159.3,49.16,106
2934,0.3,206.8,34.16,94
2935,64,192.6,48.95,117.6
2936,26.3,155.9,54.17,122.8
2937,50.6,206,50.69,119.9
2938,4.6,158.3,37.24,89.3
2939,26.7,189.8,44.35,101.1
2940,8.7,163.4,47.41,92.5
2941,43.2,211.1,59.6,146.4
2942,10.1,199.4,56.98,131.5
2943,4.3,173.8,55.31,120.2
2944,5.5,175.6,49.64,109.6
2945,17.5,182.3,46,98.9
2946,25,207,44.95,118
2947,42.4,165.9,49.27,94.5
2948,40.8,177.4,50.39,128.6
2949,4.2,154.8,49.73,100.5
2950,14.2,175.2,54.31,130.8
2951,7.3,185.8,46.88,120.2
2952,2.1,168.4,53.51,121
2953,12.3,192.2,50.39,101.9
2954,18.6,217.6,53.3,124.9
2955,44.7,194.4,37.34,90.5
2956,32.9,208.3,27.53,102.5
2957,22.3,131.6,46.23,100.1
2958,28.1,169.4,52.16,111.5
2959,5.1,167.3,46.65,107.4
2960,31.5,209.6,49.59,129.6
2961,6.3,170.6,56.75,110.9
2962,29.2,199.1,48.36,118.7
2963,8.1,168.4,55.06,101.3
2964,16.6,160.7,48,114.2
2965,37.3,166.4,42.4,97.9
2966,10.8,201.9,56.21,149.3
2967,106.9,170.9,43.16,91.6
2968,9.8,177.1,52.6,120
2969,10.5,172.9,47.57,115.3
2970,120.9,192.9,55.36,134
2971,43.6,197,46.22,104.4
2972,45.6,144.6,49.28,98.5
2973,0,230.8,46.64,121.8
2974,3.7,142.8,52.75,113.8
2975,56.5,150.9,53.38,120.7
2976,13.5,169.2,53.97,114.1
2977,21.8,160.3,46.81,96.9
2978,21,161.1,61.07,103.8
2979,22.1,165.3,56.74,143.9
2980,2.2,205.9,60.64,140.2
2981,39.3,213,58.17,146.5
2982,41.5,227.6,40.63,124.6
2983,42.7,208.4,55.32,121.4
2984,14,210.3,67.31,137
2985,12.9,184.3,37.61,109.1
2986,20.9,209.1,41.95,113.1
2987,1.7,187.9,56.53,124.1
2988,13.1,180.2,57.58,114.5
2989,32.2,190.4,51.39,133.8
2990,5,171.8,42.7,113.1
2991,5.5,217.1,48.74,120.3
2992,25.5,191.1,54.61,129.7
2993,50.7,169.9,56.17,106.6
2994,30.8,208.3,34.95,99.8
2995,5.8,188.5,28.35,96.5
2996,1.7,170.4,57.32,123.1
2997,20.1,175.6,43.53,110.2
2998,16.5,191.6,61.44,134.3
2999,13.1,169.9,44.74,115.4
3000,120.9,172.8,52.31,108.6
3001,41.7,176.3,52.1,100.7
3002,23.7,164.6,61.87,124.9
3003,128.7,216.9,61.21,134.2
3004,10,159.2,37.34,72.2
3005,62.2,161.2,64.41,130.6
3006,23.7,204.5,46.96,119.9
3007,17.9,184.2,42.62,93.8
3008,21.1,162.8,60.98,122.6
3009,10.8,182.6,48.97,123.6
3010,5.2,185.3,38.74,86.8
3011,33.8,172.7,49.31,126.5
3012,9.8,145.8,58.44,112.2
3013,4,133.9,54.71,108.7
3014,42.4,190.4,45.7,111.7
3015,121.5,194.6,58.21,126.2
3016,7.5,174.8,31.26,94.6
3017,1.7,184.3,49.3,108.8
3018,26,171.1,49.24,110.1
3019,12.4,191.5,41,118.9
3020,20.6,150.6,56,122.6
3021,2.1,153.3,50.13,105.7
3022,23.9,195.9,49.49,105.8
3023,22.6,178.1,44,102
3024,18.4,145.3,47.75,93.3
3025,40.1,168.6,45.41,118.6
3026,57,170.5,48.56,113.4
3027,3,219.3,45.9,121.5
3028,55.3,183.5,48.2,104.8
3029,69.4,169.4,54.7,111.2
3030,5,144.8,51.78,107.9
3031,13.2,185.5,55.06,122.8
3032,1,168.9,49.83,107.3
3033,14.8,207.7,50.04,112.1
3034,54.2,178.7,51.07,120.1
3035,17.4,166.4,62.68,116.3
3036,35.7,161.5,51.27,113.1
3037,45.7,165.6,65.51,129
3038,24.4,202.4,48.63,130.9
3039,24.5,209.6,41.8,94.1
3040,7.6,174.5,55.58,123.3
3041,25.6,141.7,50.76,113.1
3042,127.4,137.1,44.56,80.2
3043,54.9,168.1,58.85,109.4
3044,4,173.4,46.22,117.3
3045,0.2,167.8,70.09,128.7
3046,50.7,216.1,34.82,111.1
3047,133.8,193.2,48.12,102.6
3048,14.6,197.3,54,133.3
3049,30.5,182.6,52.14,119.9
3050,59.5,193.5,49.97,134.7
3051,21.2,150.5,64.57,134.3
3052,35.9,180.5,55.39,112.7
3053,4.2,189.8,55.28,120.8
3054,64.7,201.1,63.42,127
3055,41,184.9,34.4,84.8
3056,64,143.5,61.94,113.9
3057,9.5,170,47.67,112.1
3058,10.9,182.1,59.18,122.7
3059,47.4,193,41.13,87.9
3060,22,161.8,46.84,107.8
3061,23,171,47.58,112.2
3062,0.3,164.1,38.11,100.7
3063,10.8,187.5,39.37,91
3064,62.5,158.6,47.83,97.1
3065,5.5,192.1,49.07,132.9
3066,12,170.9,49.14,120.1
3067,34.3,163.6,31.52,90.8
3068,23.3,171.7,58.75,123.5
3069,6.2,183,61.01,159.6
3070,2.3,186.3,36.31,112.5
3071,9.7,190.2,41.47,85.4
3072,12.4,204.3,54.53,119.8
3073,16.2,213.2,49.04,113.6
3074,1.4,193.6,45.42,89.1
3075,4.1,199.4,64.36,141.4
3076,24,195.2,52.45,113.9
3077,9,158.8,52.64,123.9
3078,10.2,207.3,40.58,104
3079,23.3,189.8,47.94,118.4
3080,0.8,187.9,57.95,144.1
3081,11.9,183.1,53.42,117.3
3082,84.6,179.6,58.81,114.5
3083,67.1,186.1,65.31,136.9
3084,8.7,178.6,44.95,129.2
3085,76.2,122,40.7,76.3
3086,8,212,37.15,95
3087,9.5,185.2,53.82,117.1
3088,7.7,211.3,47,113.1
3089,31.6,229.8,44.57,122.7
3090,83.2,146.4,48.34,107.2
3091,6.8,165.3,41.68,106.2
3092,0.6,191.1,46.72,114.6
3093,10.1,176.6,38.79,104.4
3094,26.4,205.1,52.25,122.3
3095,10.9,196.8,65.44,136.1
3096,21.2,147.9,47.98,100.3
3097,12.2,174.6,42,110.1
3098,5.1,178.4,49.99,126.8
3099,41.6,198.9,45.59,138.7
3100,2.1,216.7,44.75,127.4
3101,11.6,163.1,54.57,106.2
3102,1,151.2,32.04,96.9
3103,16.2,164,52.37,87.7
3104,52.6,199.1,47.75,133.7
3105,8.6,183.7,52.17,113.8
3106,199.8,177.4,54.32,116.4
3107,50,167.1,48.01,114.3
3108,12.5,149.9,40.26,103
3109,110,184.4,49.89,107.1
3110,20.9,158.4,56.63,121.3
3111,60,173,60.15,114.1
3112,13.9,183.2,49.35,101
3113,4.3,172.2,46.05,94.2
3114,19.1,157.6,49.88,108.5
3115,42,159.4,43.97,93.6
3116,4.1,180.1,52.31,113.8
3117,15.3,173.1,54.15,111.4
3118,9.9,169.3,54.42,135.4
3119,8.8,175.9,53.19,123.4
3120,14.1,171.1,50.67,100.5
3121,37.8,217.3,48.12,134.5
3122,41.5,188.5,53.92,130
3123,0.4,175.8,45.41,109.7
3124,6.9,181.7,50.27,120.3
3125,6.9,161.5,29.5,90.1
3126,46.2,205.6,47.99,115.8
3127,3.1,164.3,38.5,110.4
3128,22.8,208.1,55.92,122.7
3129,39.8,193.2,48.17,112.9
3130,2.3,180.9,44.99,101.7
3131,7,154.5,56.14,110
3132,7.6,167.8,43.4,97.2
3133,3.6,183.6,57.46,133.5
3134,2,176.8,59.86,130.5
3135,26.8,175.5,40.82,108.2
3136,16.9,193.7,60.71,134.1
3137,10.7,171.5,53.1,130
3138,48.2,205,51.52,114.7
3139,21.1,183.5,60.49,144.2
3140,42.2,188.2,53.05,111.2
3141,14.3,185.7,52.81,126.7
3142,16.5,159.6,48.22,110.6
3143,9.2,203.9,45.32,129.5
3144,28.3,186.3,45.99,107.4
3145,88.8,174.2,54.59,125.3
3146,20.7,140.8,42.33,95.7
3147,4.6,172.7,49.12,106
3148,36.4,178.5,52.86,103.1
3149,40.4,182.7,52.2,126.6
3150,17.3,163.7,49.76,111.9
3151,39.9,188.7,45.74,89.8
3152,24,176.6,48.37,121
3153,54.9,162.3,47.62,115.1
3154,17.1,193.4,56.87,132.6
3155,3.9,175.8,52.28,125
3156,22.1,161.6,56.02,108.6
3157,37.7,166.6,59.01,118.3
3158,26.1,177.1,46.18,94.5
3159,10.1,183.5,50.34,92.9
3160,18.6,184.9,41.88,113.2
3161,40.8,165.9,43.41,97.6
3162,2,193.2,39.44,113.5
3163,8.4,199,54.79,116.4
3164,7,186,46.4,126.8
3165,7.9,188.3,44.49,103.5
3166,16.5,171.7,51.23,97.2
3167,38.7,186.7,49.98,110.7
3168,24.9,150.9,52.6,116.6
3169,37.6,155.3,41.45,101.2
3170,0.3,169.7,47.95,109
3171,29.5,185.9,50.05,96.1
3172,61.3,214.5,40.98,106.5
3173,68,198.6,58.39,142.2
3174,76.7,163.4,36.19,89.7
3175,7.5,184.9,46.68,115.1
3176,17.4,215.5,38.04,111.1
3177,32.7,154.4,55.05,113.2
3178,19.8,165.6,52.05,131.1
3179,13.6,177.6,53.39,115
3180,25.9,152.5,55.29,135.4
3181,1.3,147.6,54.58,96
3182,0.3,160,41.93,107.4
3183,14.8,160.1,53.7,122.2
3184,10.7,194.6,52.81,127.3
3185,1.4,184.7,49.77,129.2
3186,2.6,209.8,41.75,101
3187,22.2,188,54.96,133.4
3188,15.1,195.6,44.41,114.6
3189,8.4,159.8,60.23,122.4
3190,0.3,182.2,60.89,120.3
3191,0,182.7,48.92,106.2
3192,5.6,185.6,47.36,122.4
3193,5.8,202.4,42.41,127.5
3194,15.2,164.2,40.19,118.1
3195,31.5,182.6,51.53,117.7
3196,30.8,129.6,59.84,114.5
3197,29,145.6,60.33,103.8
3198,36.8,159,46.23,83.4
3199,18.3,149.4,43.31,100.2
3200,12.9,153.4,48.51,95.4
3201,45.5,161.5,38.02,107.2
3202,99.7,210,41.26,107.9
3203,45.7,188,46.49,93.2
3204,16.9,173.9,48.38,101.4
3205,5,208.3,51.59,127.1
3206,24.9,192.3,45.89,107.2
3207,50.2,167.4,61.21,115.5
3208,42.8,154.8,55.74,113.4
3209,0.1,180.5,44.41,115.5
3210,12.4,185.9,50.42,118.6
3211,65.3,176.3,41.73,126.2
3212,13.2,210.1,52.32,125.8
3213,1.8,172.5,46.85,102.5
3214,9.6,173.5,45.57,101.2
3215,41.2,160.8,45.55,94.9
3216,7.8,185.4,51.63,117.8
3217,33,165.8,42.54,103.9
3218,8.7,180.1,61.03,128.6
3219,20.2,199.9,36.38,112.3
3220,29.8,166.8,51.29,120.4
3221,97.1,210.2,53.43,122.4
3222,32,181.2,56,116.5
3223,21.2,201.4,42.28,112.2
3224,14.3,197.8,60.55,137.9
3225,5.7,180.1,62.5,140.8
3226,11.4,203.3,45.74,124.5
3227,23.3,224.4,35.77,122.4
3228,3.7,200.6,53.85,129
3229,28.9,171.5,40.94,82.7
3230,150.9,182.3,46.41,105.7
3231,12.4,184.1,45.52,111.6
3232,31,191.1,62.51,152.9
3233,4.9,170.6,55.01,124.2
3234,4.6,199.1,50.52,136.1
3235,22.2,156.9,42.2,90.7
3236,7.7,153.8,45.76,108
3237,7.3,166.4,52.34,105.5
3238,32,209.4,53.75,135.7
3239,7.8,170.3,54.77,119.3
3240,25.7,166.1,57.42,113.7
3241,2.7,205.6,47.21,135.9
3242,26,168.3,57.31,120.9
3243,8.9,139.4,41.52,102.1
3244,34,193.2,49.29,115.3
3245,1.6,196.3,43.77,114.1
3246,12.5,175,42.97,94.9
3247,1.5,158.8,51.54,93.8
3248,54.9,173.9,60.71,128.4
3249,57.1,154.1,39.82,93.5
3250,4.4,180.8,47.09,109.1
3251,13.1,184.9,59.54,136.1
3252,2.8,199.7,46.87,126.2
3253,12.7,179,47.16,113.2
3254,10.4,178,37.35,98.1
3255,34.8,173.1,39.47,86.6
3256,21.4,173.5,42.73,102.3
3257,44.6,169.9,59.17,116.2
3258,15.1,174.7,58.66,128.2
3259,12.6,201.7,38.99,92.4
3260,56.4,175.4,46.93,89.2
3261,36.2,153.2,42.84,101
3262,60.2,183,41.32,121.9
3263,33.5,192.3,52.35,126.6
3264,17.6,183.9,55.77,123.4
3265,1.5,197.6,52.12,101.2
3266,17.8,181.3,53.78,105.1
3267,37.4,205.7,42.22,103.7
3268,4.3,158.3,45.79,91.5
3269,41,171.8,50.89,124.5
3270,3.1,184.2,51.92,125.4
3271,28,135.5,59.02,105.5
3272,27.9,171.8,50.72,129.7
3273,5.5,174.4,64.05,120.6
3274,65.3,218.8,40.43,108.4
3275,2.3,169.6,44.28,105.9
3276,28.9,196,48.13,111.7
3277,40.3,222.4,55.42,128.3
3278,12.9,230.3,49.74,143.3
3279,8.3,183.7,64.69,136
3280,6.5,165.2,56.08,113.3
3281,42.9,186.8,48.36,112.6
3282,7,171.5,46.66,100
3283,10,163.2,60.62,136.8
3284,97.6,171.4,56.87,130.3
3285,36.4,184,55.56,124.3
3286,38.9,192.5,42.04,102.4
3287,1.8,191.5,46.84,107.7
3288,29.4,164.4,53.31,100.6
3289,14.5,152.8,40.1,89
3290,2,169.1,50.19,109.4
3291,31.1,127.3,56.83,101
3292,7.1,195.3,49.14,135.6
3293,41.1,161.8,53.25,115.2
3294,8.5,182.8,53.01,112.2
3295,5,181.8,63.88,128.1
3296,44.5,195.1,55.2,125.3
3297,8.8,193,45.56,115.5
3298,141.2,208.3,50.97,111.3
3299,3.3,182.5,54.21,131.4
3300,30,197.2,48.79,112.5
3301,15,161.4,52.72,109.2
3302,2.1,191,47.65,124.9
3303,5.1,205.4,50.02,129.4
3304,2.4,203.7,53.38,131
3305,31.4,183.2,52.23,110.4
3306,18.3,173.9,49.7,132.3
3307,34,165.7,55.14,113.4
3308,77.7,178.9,57.97,133.5
3309,73.9,196.3,30.72,103.7
3310,10.1,163.1,47.35,105.4
3311,27.1,166.4,46.58,128.3
3312,16.1,184.6,45.81,112.9
3313,13,127.6,54.7,98
3314,5.2,167.8,61.7,99.7
3315,23.4,192.2,49.53,121
3316,3.5,149.4,36.06,94.8
3317,30.9,166.7,48.68,109
3318,6.3,187.1,48.98,127
3319,5.7,145.1,57.23,112.3
3320,12.1,212.2,52.31,115.4
3321,39.5,143.1,53.93,91.5
3322,2.5,214.4,48.66,123.8
3323,2.6,202.3,57.64,137.1
3324,69.1,132.2,53.51,110.1
3325,30.3,176.2,52.62,123.6
3326,22.9,181.6,42.38,108.1
3327,31,179,44.57,88.6
3328,33.8,165.6,55.64,95.7
3329,26.4,200.9,47.4,113.1
3330,16.7,174.8,42.8,116.5
3331,6.6,192.8,59.71,126.2
3332,45.8,187.3,54.65,129
3333,11,191.9,44.55,110.1
3334,55.5,173.8,53.13,102.4
3335,44.6,172.6,52.13,114.5
3336,13.5,188.9,56.67,102.3
3337,39.2,181,57.7,136.7
3338,21.9,154,51,109.2
3339,43.2,172.1,40.29,99.6
3340,15.7,168.3,42.38,91.4
3341,15.9,197.4,57.11,116.8
3342,22.7,190.4,59.06,134.3
3343,12.6,181,51.24,120
3344,8.5,206.8,51.46,120.4
3345,36.6,161.7,46.83,104.7
3346,14.7,171.8,50.35,118.4
3347,3.3,143.4,57.65,124.3
3348,13.7,196,51.68,111.1
3349,11.6,165,46.29,95.5
3350,57.1,226.5,43.48,115.9
3351,60.5,215.7,47.88,127.5
3352,6,180.4,45.92,114.9
3353,61.3,141.1,50.99,95.8
3354,10.1,154.4,51.97,104.8
3355,8.5,175.4,47.4,109.6
3356,16.2,187.2,48.22,111.8
3357,11.5,199.6,46.6,119.2
3358,46.7,194.4,54.11,130.5
3359,18.2,174.1,46.57,105.6
3360,54.7,163.8,51.34,95.2
3361,73,173.2,43.51,110.5
3362,4.1,184.2,50.64,113.7
3363,108.8,169.8,49.19,103.9
3364,39.7,171.6,48.16,107
3365,12.8,188.5,53.75,110.3
3366,37.9,164.8,55.69,114.6
3367,5,193.8,47.81,126.4
3368,25.8,154.7,43.49,101.5
3369,13.4,156.4,75.22,143.2
3370,1.7,193.7,52.47,113.6
3371,12.6,203.3,52.7,118.7
3372,21.6,178.6,52.62,120.9
3373,0.1,183.8,32.2,94.3
3374,16.1,168.3,57.44,103.9
3375,7.6,200.5,47.16,116.7
3376,3.7,207.3,42.62,110
3377,60.8,192.6,56.32,124.2
3378,13.3,144.8,53.49,101.9
3379,2.9,181.1,58.98,120.6
3380,32.1,192.1,46.13,106.2
3381,94.7,169.4,53.87,113
3382,1,173.8,55.24,106.8
3383,28.2,186.8,49.45,102.8
3384,49.7,176.1,52.27,108.9
3385,7.6,171,57.91,116.7
3386,21.9,208.1,46.61,111.8
3387,11.2,209.1,50.14,121
3388,7.6,187.1,49.91,120.6
3389,16.9,207.1,58.75,127.4
3390,3.3,187.8,65.39,138.1
3391,14.1,182.1,47.55,94.6
3392,26.3,152.9,52.59,112.8
3393,5.2,189.4,37.94,96.6
3394,0.6,197.2,42.12,114.6
3395,32.1,179.3,46.15,108
3396,35.6,176,64.52,122.1
3397,3.8,196.4,53.8,140.9
3398,0.7,183.1,40.26,105.9
3399,16,176.8,45.18,108
3400,10.6,181.8,54.16,135.6
3401,12.3,193.7,58.66,110.4
3402,6.1,196.4,50.16,124.3
3403,2.9,176.4,52.37,115.4
3404,31.5,174,45.52,114.2
3405,3.3,167.5,49.42,109.8
3406,28.3,159.7,41.52,107.5
3407,37.8,167.1,50.18,94.6
3408,15.3,200.3,43.42,111.9
3409,35,208,43.35,92.1
3410,49.5,200.8,50,120.6
3411,6.3,163.7,55.17,120.7
3412,9.2,134.2,55.04,85.5
3413,6,153.3,40.06,92.6
3414,14.1,192,55.83,126.9
3415,86.6,170.4,63.1,135.1
3416,83.2,133.6,52.43,99.5
3417,1.5,162.4,42,122.8
3418,29,170.1,57.51,113.5
3419,1.1,171.9,34.7,94.8
3420,27.9,186.1,44.01,111.3
3421,16.5,163.2,50.83,102.8
3422,19.7,168.3,51.78,108.7
3423,5.8,161.9,45.96,113.3
3424,22.7,135.6,47.25,106
3425,31.6,166.6,40.35,98.5
3426,43.7,186.5,54.72,107.5
3427,5.1,152.5,38.6,104.9
3428,39.1,171.7,55.82,95.6
3429,34.4,156.2,56.88,131.3
3430,1.9,135.4,53.94,119
3431,10.2,201,48.17,115.5
3432,13.4,196.1,44.18,108.7
3433,28.4,206.9,57.77,139.6
3434,49.2,179.1,51.18,120
3435,20.9,172.8,51.27,111.2
3436,9.7,187.3,51.6,110.2
3437,10.5,188.9,57.35,131.6
3438,5.9,206.2,59.06,103.7
3439,17.4,184.3,55.7,136.1
3440,35.8,196.9,40.31,112.7
3441,47.2,171.4,70.86,143.3
3442,5.8,208.4,38.27,116.3
3443,4.1,197.2,49.29,118.5
3444,12.8,175.1,62.76,125.3
3445,20.5,176.8,51.67,127.1
3446,7.9,170.4,42.17,121.7
3447,21.3,189.4,54.56,124.5
3448,50.1,171.7,59.8,135.4
3449,5.5,171.5,54.84,113.1
3450,2.3,173.1,50.27,119.3
