N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,r
36,47,40,5.19,27.81,Loamy,0.85,16.87,80.68,766.25,4.45,3.41,North,726,Kharif,Sugarcane,Rainfed,260.41,0.0,73.42,0.909454610937242
160,52,117,6.35,50.94,Loamy,0.75,35.02,67.32,1670.6,8.4,16.08,South,2004,Kharif,Sugarcane,Drip,79.28,0.02,74.11,0.5333866287653626
32,71,138,7.22,15.04,Loamy,0.97,34.1,57.27,826.55,9.8,1.81,North,102,Rabi,Sugarcane,Sprinkler,266.23,18.42,74.62,0.1306523438234629
37,20,76,5.47,55.28,Clay,0.99,10.71,64.95,2773.44,6.83,11.22,Central,1007,Kharif,Sugarcane,Rainfed,214.9,14.86,73.65,0.9440420938253978
136,17,143,6.9,39.84,Sandy,1.21,38.64,76.68,1506.58,6.98,8.61,Central,620,Kharif,Sugarcane,Canal,322.04,10.15,76.23,0.9809873781626851
130,57,78,6.99,55.15,Clay,0.78,19.4,68.64,1180.38,8.2,15.87,North,1892,Rabi,Sugarcane,Drip,243.11,12.11,76.25,0.4834074359731466
41,40,135,4.84,34.06,Sandy,1.46,22.77,65.61,1443.28,9.12,13.81,East,877,Kharif,Sugarcane,Drip,265.45,20.53,74.18,0.7617981913776972
42,99,40,6.38,25.14,Loamy,0.71,11.55,58.3,1874.96,8.26,2.42,North,1036,Rabi,Sugarcane,Canal,168.86,22.89,76.23,0.5735289514555733
38,38,23,5.68,22.7,Sandy,1.56,32.86,48.74,341.21,4.43,4.76,Central,2019,Zaid,Sugarcane,Canal,138.5,0.99,72.8,0.01911609442976403
89,71,92,5.28,46.31,Clay,1.3,37.76,49.29,1602.97,4.94,11.73,West,1949,Kharif,Sugarcane,Canal,128.81,8.18,74.13,0.7227069576982285
59,96,71,6.37,51.04,Silt,0.62,20.69,67.31,1080.13,8.53,5.59,South,579,Kharif,Sugarcane,Sprinkler,245.81,5.27,75.69,0.21070496386720317
70,55,26,6.45,21.65,Clay,0.33,13.51,34.99,1524.09,10.12,4.89,North,251,Zaid,Sugarcane,Drip,152.42,8.53,73.21,0.9978208556819782
168,40,139,6.17,21.51,Sandy,0.3,38.7,62.4,703.0,9.01,8.18,East,1301,Kharif,Sugarcane,Canal,346.31,13.65,75.54,0.6585405156700549
44,93,72,5.87,27.3,Clay,1.1,12.68,62.11,1607.82,6.35,17.51,West,922,Zaid,Sugarcane,Sprinkler,139.14,3.38,72.89,0.8459214396777321
120,50,64,7.04,22.21,Clay,0.46,11.37,63.0,2788.38,6.9,11.53,East,1231,Kharif,Sugarcane,Drip,190.81,9.11,74.88,0.6136041142374584
50,92,122,6.94,39.22,Silt,0.4,10.2,77.97,323.01,9.83,3.92,South,1232,Zaid,Sugarcane,Canal,295.48,15.64,73.97,0.5006242680704178
171,28,97,6.94,57.0,Silt,1.27,12.93,73.82,1686.06,5.86,11.66,South,656,Rabi,Sugarcane,Sprinkler,180.68,21.37,76.18,0.07290183536790351
128,40,32,7.27,28.54,Silt,1.58,10.18,56.14,552.29,10.02,12.12,East,23,Kharif,Sugarcane,Drip,253.02,6.15,73.24,0.2810044989087136
127,30,62,7.78,60.02,Clay,0.99,14.01,44.44,308.88,4.36,11.99,West,1674,Kharif,Sugarcane,Drip,334.96,2.94,73.87,0.32149570124788196
64,41,110,8.06,60.34,Silt,0.79,23.2,59.51,2217.38,6.1,8.86,East,638,Zaid,Sugarcane,Canal,264.15,15.87,75.24,0.6478174459905284
113,39,38,6.89,26.08,Silt,0.4,22.59,83.87,1604.67,6.99,12.64,East,818,Kharif,Sugarcane,Canal,137.76,4.54,74.55,0.44934974203964206
142,32,125,7.31,61.48,Clay,1.05,28.2,55.42,388.36,9.78,4.33,West,1172,Kharif,Sugarcane,Rainfed,306.84,17.61,74.79,0.5858647884535192
131,24,114,7.44,48.37,Sandy,0.6,24.15,41.12,1672.28,5.86,3.64,South,117,Zaid,Sugarcane,Canal,249.85,18.1,76.04,0.24193168031552958
100,77,117,7.81,45.21,Silt,1.45,12.59,71.71,2269.08,5.26,6.93,Central,167,Rabi,Sugarcane,Sprinkler,300.38,20.34,76.06,0.7753461504031356
92,91,127,6.22,49.26,Silt,1.32,10.03,54.35,1323.58,8.07,4.21,Central,1729,Kharif,Sugarcane,Sprinkler,185.96,8.47,76.91,0.27140938044671437
171,54,29,6.66,27.64,Sandy,0.63,21.0,51.9,2727.47,8.27,17.81,South,509,Zaid,Sugarcane,Canal,303.23,19.5,78.2,0.7486452341262
93,85,38,7.52,45.14,Silt,1.03,16.3,39.86,478.7,4.85,8.32,Central,1958,Rabi,Sugarcane,Rainfed,139.44,24.86,73.2,0.27616955782089947
171,64,114,7.31,42.17,Loamy,1.19,10.13,62.13,2411.14,9.4,7.55,East,914,Zaid,Sugarcane,Sprinkler,242.89,4.2,76.86,0.003819922658583108
107,60,107,8.14,43.51,Sandy,1.39,22.02,73.74,2636.33,4.21,13.94,South,82,Kharif,Sugarcane,Sprinkler,106.59,23.79,74.43,0.7409040561520714
154,95,110,6.19,39.89,Silt,0.84,26.59,43.53,1983.61,8.83,6.78,Central,530,Rabi,Sugarcane,Canal,176.42,12.9,78.24,0.31334791758514313
139,42,58,6.19,32.03,Clay,0.85,10.44,79.57,2209.69,8.96,6.4,Central,1827,Kharif,Sugarcane,Sprinkler,64.47,8.79,74.71,0.7889324717760072
156,62,128,8.09,29.08,Silt,0.62,15.4,63.02,2730.94,9.55,15.06,West,663,Rabi,Sugarcane,Sprinkler,146.81,5.7,74.02,0.909943143854392
40,83,145,7.44,33.68,Sandy,1.32,26.18,34.07,523.09,7.75,15.15,East,784,Zaid,Sugarcane,Rainfed,175.78,17.16,72.43,0.38764880545564706
93,72,128,4.91,21.62,Loamy,0.4,30.26,51.53,1513.54,9.2,4.99,Central,1321,Kharif,Sugarcane,Rainfed,263.25,23.88,75.46,0.6327118787486009
79,22,66,6.79,36.0,Clay,1.59,29.29,78.38,2294.22,5.11,8.61,West,1023,Rabi,Sugarcane,Canal,217.65,6.82,75.18,0.7038570916343312
178,56,111,7.46,53.59,Loamy,0.86,14.88,50.65,423.5,5.63,5.42,North,1961,Kharif,Sugarcane,Canal,304.75,15.01,75.12,0.004363269650309087
94,98,37,8.0,34.24,Loamy,0.88,25.09,39.06,1060.1,8.04,2.02,Central,536,Kharif,Sugarcane,Drip,306.79,13.1,73.86,0.29805220863944315
116,93,71,7.44,52.1,Sandy,1.15,38.89,43.3,1430.9,7.44,4.22,North,942,Zaid,Sugarcane,Rainfed,331.87,6.95,75.14,0.6441492214759159
76,37,71,6.35,19.46,Clay,0.43,14.51,84.13,2780.27,5.56,14.17,East,363,Kharif,Sugarcane,Sprinkler,285.74,14.05,75.88,0.9567998154842862
122,37,66,7.26,26.77,Loamy,0.74,28.36,73.33,583.91,4.42,8.4,South,34,Kharif,Sugarcane,Rainfed,268.88,17.75,75.03,0.3698132559871766
84,70,33,6.46,43.5,Loamy,0.35,24.07,48.92,1972.63,5.24,9.1,West,2121,Kharif,Sugarcane,Sprinkler,113.81,20.92,75.29,0.6573534821701286
96,59,74,5.02,19.23,Sandy,0.7,14.14,31.17,2018.55,4.93,14.04,Central,1077,Kharif,Sugarcane,Canal,293.76,4.16,72.72,0.2953014775718328
35,23,120,7.27,34.6,Loamy,1.35,20.83,69.82,2521.4,9.18,11.76,North,890,Rabi,Sugarcane,Canal,159.21,2.96,76.32,0.7132068832826177
90,42,48,5.61,55.01,Sandy,1.07,18.88,36.86,2487.03,5.53,1.05,South,584,Kharif,Sugarcane,Drip,338.55,16.25,77.71,0.8902150026361744
113,78,100,7.8,51.38,Clay,0.71,16.79,66.34,2436.96,6.25,10.1,West,1020,Kharif,Sugarcane,Rainfed,225.81,22.16,76.58,0.12436839900051022
75,76,106,7.53,19.47,Clay,1.54,39.61,82.34,1269.19,8.69,5.47,South,1603,Rabi,Sugarcane,Canal,212.05,19.51,74.58,0.5309376784120938
91,66,109,6.0,56.65,Silt,1.23,16.0,39.05,374.8,6.96,13.32,West,900,Zaid,Sugarcane,Sprinkler,343.49,4.2,75.93,0.521296047654139
135,43,59,7.69,38.92,Clay,1.51,32.93,38.55,592.61,6.22,6.43,Central,97,Zaid,Sugarcane,Drip,303.87,11.27,74.58,0.9760138232792136
38,32,119,5.33,42.81,Silt,1.08,20.13,59.53,1579.27,7.26,3.34,Central,72,Zaid,Sugarcane,Sprinkler,197.22,8.0,74.74,0.8071555373648825
30,53,77,7.38,52.64,Loamy,1.37,22.37,71.64,2227.67,10.21,10.04,North,526,Kharif,Sugarcane,Sprinkler,127.26,15.64,75.27,0.3029157288331926
48,41,44,6.4,46.63,Silt,1.45,35.81,42.53,1061.55,7.36,12.37,South,1460,Zaid,Sugarcane,Drip,315.47,20.21,75.72,0.2282353634936991
105,60,30,6.28,49.58,Loamy,0.47,23.05,46.23,939.04,7.77,8.98,East,611,Rabi,Sugarcane,Sprinkler,296.5,24.33,74.84,0.24660363497802462
138,47,67,6.47,40.83,Sandy,0.32,35.3,79.42,607.32,4.09,5.32,East,594,Zaid,Sugarcane,Canal,108.61,21.34,73.5,0.747444406596694
132,72,133,5.53,25.73,Loamy,0.88,15.85,42.03,952.23,6.97,10.74,East,1705,Zaid,Sugarcane,Rainfed,214.93,13.74,76.19,0.9427243190941123
111,91,64,5.59,42.37,Clay,1.03,32.82,65.4,1913.94,8.55,13.11,East,1218,Kharif,Sugarcane,Rainfed,105.17,20.93,73.28,0.14080294889267608
142,46,38,7.63,45.19,Silt,0.93,33.01,67.89,1047.01,6.32,11.91,West,877,Zaid,Sugarcane,Rainfed,340.59,18.72,75.33,0.5782983994203607
69,58,111,5.29,62.1,Loamy,0.85,15.26,71.5,525.53,10.43,2.68,South,1799,Kharif,Sugarcane,Canal,237.0,17.59,74.3,0.274703815047892
78,87,56,7.45,51.51,Clay,0.32,31.52,85.56,2314.65,10.12,14.79,North,433,Kharif,Sugarcane,Canal,239.71,20.87,75.59,0.04997902865967874
151,79,129,8.17,33.86,Silt,0.51,16.01,88.29,1016.63,6.94,9.73,Central,1010,Rabi,Sugarcane,Rainfed,163.22,6.63,74.66,0.9811437317918219
127,93,81,5.37,21.06,Sandy,0.76,12.97,68.29,651.31,6.21,3.85,Central,1149,Rabi,Sugarcane,Canal,94.82,10.0,70.34,0.43699588566562086
70,92,71,6.2,52.67,Silt,1.21,18.14,76.49,1536.45,10.52,5.01,East,664,Rabi,Sugarcane,Rainfed,137.17,6.41,75.64,0.6223432646172461
142,53,57,7.72,52.85,Loamy,0.79,15.84,42.51,1699.6,6.75,4.42,South,2092,Rabi,Sugarcane,Drip,154.56,2.16,74.79,0.009038469079292177
67,22,101,7.98,61.63,Silt,0.58,20.67,52.09,1999.32,6.67,17.26,East,302,Rabi,Sugarcane,Sprinkler,264.18,16.97,76.13,0.3570293439700122
98,98,60,7.55,35.3,Silt,1.55,37.97,69.86,2738.62,7.22,9.08,South,699,Zaid,Sugarcane,Drip,195.35,7.25,74.07,0.22867677960360877
149,61,108,7.52,61.86,Clay,1.51,28.5,65.49,328.53,5.16,2.09,East,1343,Kharif,Sugarcane,Drip,248.11,13.51,75.8,0.480890146603009
106,73,54,7.73,31.88,Sandy,1.42,29.35,59.42,461.93,8.79,8.14,Central,719,Kharif,Sugarcane,Sprinkler,90.17,18.62,70.97,0.5059579077349317
170,93,144,8.01,56.42,Loamy,1.35,13.94,43.65,393.35,6.08,13.56,East,1257,Rabi,Sugarcane,Drip,162.24,3.38,74.79,0.4366141897687661
138,87,40,6.72,40.08,Sandy,0.87,29.15,30.34,2312.02,8.63,13.27,Central,167,Kharif,Sugarcane,Sprinkler,92.77,3.5,74.32,0.4194479939573136
121,98,138,7.28,19.04,Sandy,0.39,39.78,69.35,1103.61,7.38,5.12,South,505,Kharif,Sugarcane,Drip,91.49,11.35,74.41,0.07115828517343281
154,57,28,5.94,21.34,Silt,0.53,23.02,81.26,2576.08,10.82,14.18,East,1079,Zaid,Sugarcane,Rainfed,252.53,4.88,75.65,0.9407845205031079
170,21,92,7.82,31.72,Loamy,0.4,37.08,87.68,2662.3,8.29,9.8,South,1034,Rabi,Sugarcane,Drip,103.26,7.33,77.17,0.5069204379618346
111,54,40,5.06,56.83,Clay,1.23,39.53,76.48,818.37,8.83,4.53,West,2117,Zaid,Sugarcane,Drip,253.52,23.64,75.44,0.7711228158518866
174,76,64,8.03,40.68,Clay,0.83,29.58,43.82,2653.57,9.19,7.52,East,301,Rabi,Sugarcane,Rainfed,268.82,15.0,77.35,0.03757109039890738
176,32,69,7.04,22.68,Sandy,1.26,37.87,36.73,1487.96,4.93,16.71,West,1920,Rabi,Sugarcane,Canal,348.37,6.82,75.05,1.1634755366141114e-05
46,31,124,4.98,46.87,Loamy,1.36,24.93,50.44,366.37,7.15,15.18,West,1868,Zaid,Sugarcane,Sprinkler,111.4,7.68,73.07,0.4226291970136091
77,62,107,4.85,53.53,Loamy,1.53,21.43,36.55,1142.88,6.32,11.99,North,1986,Zaid,Sugarcane,Drip,83.34,8.17,72.14,0.7126213330985128
102,39,37,7.28,28.99,Silt,0.35,33.41,89.2,1694.08,6.08,9.78,East,1769,Zaid,Sugarcane,Rainfed,118.27,3.45,73.61,0.16732130400106038
96,48,138,6.76,41.58,Clay,0.72,20.48,58.08,922.77,6.75,6.91,East,1157,Zaid,Sugarcane,Rainfed,348.36,16.35,75.77,0.5138544642067677
143,79,114,7.21,64.34,Clay,1.17,10.32,37.39,1200.25,7.48,10.18,North,194,Kharif,Sugarcane,Canal,165.97,1.49,75.72,0.8275063198732212
48,66,41,5.51,50.44,Silt,1.33,18.51,54.22,1198.11,5.21,15.15,Central,1584,Rabi,Sugarcane,Canal,78.76,7.14,72.37,0.8565372237479268
55,27,26,4.91,42.31,Clay,0.91,16.61,75.65,432.41,5.39,9.67,Central,234,Kharif,Sugarcane,Sprinkler,191.45,11.77,73.07,0.5620727944025711
96,97,57,6.77,51.67,Loamy,1.46,37.82,33.53,790.8,5.83,6.92,West,1640,Zaid,Sugarcane,Sprinkler,200.69,21.05,74.5,0.786205652261058
65,58,32,6.36,35.54,Silt,1.0,27.38,53.07,1681.65,7.97,12.36,East,152,Kharif,Sugarcane,Canal,216.71,14.08,75.02,0.3843550385241349
66,88,63,7.12,50.91,Silt,1.31,11.34,52.75,1813.48,7.55,3.22,East,1647,Kharif,Sugarcane,Sprinkler,269.57,11.1,76.5,0.970257109726057
162,94,70,5.42,64.8,Clay,0.84,12.31,78.89,1200.54,11.0,14.62,Central,2007,Zaid,Sugarcane,Sprinkler,171.14,17.07,77.06,0.7048710100433817
157,79,22,7.12,17.24,Sandy,1.24,15.84,51.89,2028.52,6.75,14.55,Central,1904,Kharif,Sugarcane,Drip,195.06,17.91,74.62,0.8171281420155851
104,67,55,6.3,62.03,Silt,1.44,21.27,64.93,1900.79,7.54,14.08,Central,1411,Rabi,Sugarcane,Sprinkler,310.94,17.34,75.5,0.13171502857909356
63,85,89,8.12,25.47,Clay,0.71,32.81,36.68,878.03,6.4,5.32,South,408,Kharif,Sugarcane,Rainfed,281.01,20.51,73.51,0.8714140341908543
148,51,29,5.69,35.64,Silt,0.74,26.03,34.1,897.66,8.54,6.82,Central,1113,Rabi,Sugarcane,Drip,107.6,20.41,73.83,0.6740199190587927
131,62,78,8.16,53.17,Loamy,0.67,30.01,57.94,1017.25,7.47,9.57,East,1393,Kharif,Sugarcane,Drip,272.05,6.86,75.53,0.2876327290436782
140,29,82,4.99,42.83,Silt,0.69,37.11,52.55,969.48,4.91,17.19,West,1127,Zaid,Sugarcane,Sprinkler,143.94,17.2,73.19,0.6212924490496101
149,91,56,6.6,42.4,Sandy,0.4,18.23,49.44,1712.74,6.8,11.75,Central,1620,Zaid,Sugarcane,Canal,237.36,13.11,74.26,0.06835320030995862
155,58,64,6.55,48.75,Silt,1.58,13.42,41.1,1440.37,8.88,13.57,West,1773,Rabi,Sugarcane,Drip,128.76,4.92,72.65,0.7837598424841072
42,89,130,6.32,64.6,Loamy,1.52,13.85,65.1,1771.46,9.53,16.3,West,857,Kharif,Sugarcane,Sprinkler,287.37,7.39,76.21,0.6417343972985582
50,89,106,7.9,47.45,Silt,1.17,14.4,32.55,2368.69,10.23,10.09,West,400,Zaid,Sugarcane,Sprinkler,273.33,17.0,75.53,0.6714791486672069
176,39,110,7.86,45.11,Loamy,1.21,31.6,78.38,1021.1,5.73,6.45,West,1686,Kharif,Sugarcane,Canal,115.2,19.8,71.66,0.6322821536376398
60,73,111,5.86,16.59,Loamy,0.74,13.01,62.01,2184.27,10.52,5.47,North,309,Zaid,Sugarcane,Canal,252.74,3.8,74.63,0.27785277608971226
52,88,143,5.72,51.08,Clay,1.28,38.51,43.51,2028.0,9.39,12.12,East,168,Zaid,Sugarcane,Rainfed,226.33,24.14,75.68,0.432018927594506
61,36,23,8.15,40.54,Loamy,1.02,25.69,37.75,2639.06,10.75,17.31,West,141,Rabi,Sugarcane,Sprinkler,134.59,24.95,72.56,0.9803687409421851
39,77,130,6.32,59.34,Clay,0.38,14.14,71.41,1232.9,4.87,3.65,West,1427,Kharif,Sugarcane,Drip,130.63,22.74,75.97,0.518700994380595
177,78,32,7.31,41.91,Silt,0.77,29.54,54.13,464.37,4.01,2.03,West,2089,Rabi,Sugarcane,Canal,100.75,0.76,72.62,0.1133035047274642
148,67,97,7.23,45.79,Clay,1.22,21.78,74.69,2463.43,10.4,11.98,North,471,Zaid,Sugarcane,Canal,73.99,25.0,74.09,0.6567560634745571
63,84,125,5.45,30.53,Clay,0.64,28.74,66.95,2120.83,4.05,5.07,Central,184,Rabi,Sugarcane,Rainfed,261.7,24.65,75.28,0.9685373316998922
127,25,68,6.26,39.19,Silt,0.44,16.01,63.34,899.99,10.21,4.19,South,19,Rabi,Sugarcane,Drip,286.25,3.92,75.58,0.07697946706496628
156,24,142,5.89,47.98,Clay,0.46,17.48,73.48,2681.05,4.1,4.78,Central,1173,Kharif,Sugarcane,Rainfed,219.96,3.65,77.3,0.07558361385406698
117,25,100,6.87,23.76,Loamy,0.34,22.55,38.07,2011.65,5.19,12.43,Central,1386,Kharif,Sugarcane,Drip,298.08,21.31,76.31,0.2508930456911025
163,49,129,6.72,25.17,Clay,0.99,21.55,88.42,2613.64,9.0,11.89,North,979,Rabi,Sugarcane,Drip,301.67,7.99,79.99,0.6100074170794857
93,69,43,6.75,33.34,Silt,1.4,34.55,58.43,1224.89,4.54,7.21,South,2080,Zaid,Sugarcane,Canal,298.01,16.73,76.32,0.5976682827027031
172,34,23,5.84,45.23,Clay,0.9,31.71,85.92,888.66,6.51,15.94,West,1745,Rabi,Sugarcane,Drip,257.84,10.86,73.21,0.5875858711094019
141,39,99,5.53,38.07,Sandy,1.37,25.26,77.62,1849.07,9.5,17.62,North,1551,Rabi,Sugarcane,Drip,245.97,3.38,76.01,0.015394891691308477
40,51,97,5.23,15.56,Sandy,1.02,10.29,64.78,2106.62,10.16,3.03,Central,2025,Kharif,Sugarcane,Rainfed,103.08,11.16,72.33,0.43358279263261434
66,20,71,7.79,56.48,Loamy,1.44,16.14,78.9,1572.1,4.4,16.09,South,85,Kharif,Sugarcane,Canal,159.24,5.44,74.06,0.723447817850001
128,34,23,5.83,18.35,Clay,1.31,24.45,46.88,1194.4,4.43,5.76,West,1892,Kharif,Sugarcane,Canal,113.98,4.09,71.87,0.1992703364668008
42,16,118,6.89,16.82,Sandy,1.35,30.66,75.6,2644.21,7.84,7.57,South,613,Zaid,Sugarcane,Rainfed,128.49,6.69,75.66,0.21440648299316456
83,19,131,4.99,39.14,Loamy,0.4,28.98,41.33,2012.74,9.06,17.94,East,2008,Kharif,Sugarcane,Drip,207.76,15.66,75.32,0.08114917853623915
32,33,109,6.68,41.1,Sandy,1.53,24.51,47.48,2072.44,10.55,12.46,Central,1489,Zaid,Sugarcane,Canal,234.89,22.68,74.51,0.742881493667939
83,92,102,7.54,62.52,Loamy,0.64,23.68,77.92,864.3,7.09,11.85,South,1719,Zaid,Sugarcane,Sprinkler,162.99,13.19,75.05,0.45434542306765513
82,32,39,7.24,34.32,Clay,1.33,34.23,53.06,1240.9,8.68,1.67,West,587,Zaid,Sugarcane,Rainfed,61.61,8.61,73.27,0.4425455148147456
58,34,61,5.38,25.48,Loamy,0.9,37.53,35.34,2315.89,10.04,14.15,North,1716,Kharif,Sugarcane,Canal,137.0,3.43,75.32,0.1594922625413583
94,33,121,8.01,28.99,Loamy,0.87,17.08,34.69,743.99,6.51,11.89,West,1401,Kharif,Sugarcane,Drip,212.8,11.27,72.7,0.18564670490124302
133,76,33,6.37,27.68,Sandy,0.93,28.2,69.9,1510.14,10.5,9.89,South,218,Kharif,Sugarcane,Drip,206.76,10.09,75.27,0.6851343098744841
121,75,33,4.94,27.81,Clay,0.49,36.0,79.09,2158.4,4.07,11.31,South,1174,Zaid,Sugarcane,Drip,268.25,1.48,76.05,0.11043186341110267
56,44,69,7.82,56.02,Clay,1.2,14.11,38.73,303.48,5.86,6.75,East,434,Rabi,Sugarcane,Rainfed,328.29,8.8,74.75,0.28918744629594983
72,33,38,6.74,50.68,Sandy,1.02,35.2,73.58,2401.99,6.97,16.76,East,544,Kharif,Sugarcane,Drip,277.51,12.02,78.33,0.9137884438732593
33,28,135,5.23,27.26,Clay,0.42,12.02,57.46,2793.94,10.56,2.04,East,1767,Kharif,Sugarcane,Drip,236.86,2.71,76.04,0.8379083748518036
162,58,113,5.41,32.96,Loamy,0.45,22.08,85.68,1132.12,4.24,12.48,Central,870,Kharif,Sugarcane,Drip,264.94,19.09,73.93,0.16036540611974315
61,58,34,7.59,43.98,Silt,0.34,13.96,40.69,1724.5,7.34,13.29,West,519,Zaid,Sugarcane,Sprinkler,283.01,18.84,73.87,0.11755130015021997
57,28,48,4.91,37.71,Sandy,1.44,10.32,65.07,387.63,8.43,3.69,South,974,Zaid,Sugarcane,Canal,268.2,0.43,72.22,0.16528449014295743
88,16,92,5.66,18.87,Clay,1.32,37.91,45.68,382.48,9.74,7.78,East,2188,Zaid,Sugarcane,Rainfed,186.27,3.06,72.59,0.7324010490583791
135,44,100,7.5,63.08,Clay,0.44,13.11,46.12,425.58,6.97,1.1,North,1959,Rabi,Sugarcane,Rainfed,327.27,5.51,77.38,0.1613628010553837
54,45,70,7.49,30.59,Silt,0.92,22.55,47.41,2529.29,10.9,17.86,South,1355,Rabi,Sugarcane,Drip,196.63,24.38,72.83,0.01912896643728701
112,63,60,4.88,31.43,Sandy,0.3,19.5,38.03,2462.31,7.56,1.38,Central,819,Rabi,Sugarcane,Sprinkler,64.55,14.42,74.97,0.24153684170168177
124,98,97,6.7,28.75,Loamy,0.51,24.44,47.33,1321.37,9.06,7.75,North,2073,Rabi,Sugarcane,Canal,336.78,21.7,76.57,0.5192245707802051
131,54,27,7.0,17.88,Silt,0.77,24.61,64.74,2696.18,8.67,4.55,North,945,Rabi,Sugarcane,Rainfed,116.93,8.06,74.89,0.39103286912739865
86,73,126,7.38,20.97,Loamy,1.1,19.94,73.45,616.64,10.98,10.49,North,1203,Kharif,Sugarcane,Drip,195.02,16.21,72.39,0.23420337092633414
134,46,41,5.04,32.89,Loamy,1.07,33.18,49.55,1675.34,7.16,16.92,South,1938,Rabi,Sugarcane,Sprinkler,90.19,1.06,72.71,0.5409050038380808
83,59,34,5.43,32.72,Loamy,0.47,17.3,52.67,1724.43,10.14,17.47,South,976,Kharif,Sugarcane,Canal,157.09,3.32,72.42,0.6964298070361072
67,16,50,6.31,40.91,Loamy,0.46,37.25,89.63,1684.86,9.82,8.04,East,2030,Kharif,Sugarcane,Canal,139.76,14.42,75.79,0.5325040664159818
115,25,56,6.08,21.18,Silt,0.45,23.42,34.36,1726.69,5.65,16.9,South,856,Kharif,Sugarcane,Drip,314.52,14.17,76.41,0.6056378893234114
137,39,25,6.68,46.04,Clay,0.94,38.81,57.47,1901.49,5.54,12.73,South,695,Rabi,Sugarcane,Canal,348.29,17.07,76.87,0.2043163833989703
106,39,49,4.9,48.28,Loamy,0.66,39.05,42.11,1375.16,8.16,12.41,West,722,Rabi,Sugarcane,Canal,234.39,14.01,74.79,0.419271661166022
124,15,54,8.11,62.0,Silt,1.59,19.99,86.71,2043.61,7.54,16.63,East,1547,Kharif,Sugarcane,Sprinkler,320.95,17.26,75.78,0.06904590631459973
77,48,46,8.1,36.08,Sandy,0.44,30.45,40.98,1879.46,6.4,14.37,East,1517,Zaid,Sugarcane,Drip,224.96,15.8,74.09,0.2532723835227151
105,91,131,7.82,56.94,Clay,1.28,30.91,47.91,486.09,7.68,10.42,Central,1978,Zaid,Sugarcane,Canal,189.61,1.9,75.59,0.5356565993475786
144,88,117,6.25,54.36,Loamy,0.67,35.6,73.95,1763.67,6.8,1.17,East,2188,Rabi,Sugarcane,Rainfed,102.46,21.7,75.39,0.07569972730978747
154,57,79,7.81,24.47,Loamy,0.65,30.6,48.48,1851.22,7.27,14.39,East,1457,Rabi,Sugarcane,Drip,83.96,22.43,73.77,0.9017740285462287
72,66,122,5.92,31.0,Clay,1.39,33.81,74.5,1563.69,5.57,1.06,West,519,Kharif,Sugarcane,Rainfed,192.51,20.11,75.42,0.3894049389788753
110,90,110,6.38,33.42,Loamy,1.23,10.01,89.9,2283.5,8.72,8.67,North,1541,Kharif,Sugarcane,Rainfed,204.04,12.07,75.69,0.5590592849466022
115,45,72,8.12,42.52,Sandy,1.57,23.78,38.93,743.77,8.11,9.08,North,198,Zaid,Sugarcane,Rainfed,188.97,9.38,74.62,0.06871367772396098
38,97,90,5.64,56.0,Clay,0.94,19.74,30.37,1057.03,5.88,8.92,East,821,Kharif,Sugarcane,Canal,176.57,2.77,72.67,0.7819599771579592
63,71,108,6.32,62.58,Clay,0.84,23.69,37.36,1865.16,6.34,16.27,Central,1226,Rabi,Sugarcane,Sprinkler,309.75,17.4,77.29,0.7517469923958404
158,95,39,7.34,35.51,Silt,1.24,10.52,87.3,2295.38,7.87,11.11,West,1024,Zaid,Sugarcane,Canal,126.45,5.68,74.28,0.8030020719578371
132,32,72,6.99,28.04,Clay,0.75,11.23,61.73,1438.28,7.25,15.2,East,1187,Kharif,Sugarcane,Drip,168.81,10.73,74.15,0.9082284887003229
30,61,66,6.57,38.55,Clay,0.53,22.66,37.6,908.72,8.83,3.23,South,631,Zaid,Sugarcane,Drip,293.51,8.12,75.97,0.20225418052453492
39,67,21,6.19,30.92,Sandy,0.65,10.26,37.25,1230.27,9.86,12.97,Central,913,Rabi,Sugarcane,Drip,176.9,6.95,71.95,0.5070596467387183
178,53,137,5.75,61.46,Silt,0.55,28.19,56.25,1792.41,6.91,17.28,Central,1175,Kharif,Sugarcane,Sprinkler,63.17,8.49,74.46,0.6363742815333744
52,56,125,5.4,45.07,Sandy,0.94,11.42,75.75,1264.66,4.87,6.03,South,1685,Zaid,Sugarcane,Drip,275.31,8.62,76.39,0.08838494698451871
138,53,48,5.9,53.92,Clay,0.99,23.85,66.24,1221.89,4.26,14.37,South,1114,Zaid,Sugarcane,Sprinkler,234.18,8.23,77.25,0.2595764492750492
75,32,92,5.06,16.65,Loamy,0.79,18.88,46.56,631.97,8.77,12.25,East,863,Kharif,Sugarcane,Canal,231.72,19.46,70.64,0.32302734575409386
69,54,122,6.68,61.58,Sandy,1.42,12.06,79.98,1924.14,7.6,11.1,Central,947,Zaid,Sugarcane,Rainfed,342.03,4.67,77.61,0.2490087361090899
53,19,123,6.39,36.05,Loamy,0.59,26.49,76.3,1468.92,10.89,11.07,North,1373,Kharif,Sugarcane,Rainfed,346.43,12.79,74.39,0.5767023988577563
